1	0.06	0.8	-0.38
2	0.1	0.84	-0.39
3	0.14	0.86	-0.42
4	0.18	0.89	-0.45
5	0.22	0.91	-0.51
6	0.26	0.93	-0.56
7	0.3	0.92	-0.59
8	0.34	0.89	-0.63
9	0.38	0.86	-0.65
10	0.42	0.84	-0.68
11	0.52	0.85	-0.75
12	0.55	0.86	-0.79
13	0.58	0.89	-0.86
14	0.74	0.9	-0.91
15	0.78	0.91	-0.92
16	0.82	0.91	-0.95
17	0.86	0.89	-0.95
18	0.9	0.86	-0.95
19	0.94	0.81	-0.96
20	0.98	0.76	-0.96
21	1.02	0.69	-0.95
22	1.06	0.61	-0.96
23	1.1	0.53	-0.98
24	1.14	0.47	-1
25	1.18	0.43	-1.02
26	1.22	0.41	-1.03
27	1.26	0.38	-1.04
28	1.3	0.36	-1.06
29	1.34	0.34	-1.08
30	1.38	0.32	-1.09
31	1.42	0.31	-1.11
32	1.46	0.3	-1.1
33	1.5	0.31	-1.09
34	1.54	0.29	-1.09
35	1.58	0.28	-1.08
36	1.62	0.26	-1.07
37	1.66	0.23	-1.05
38	1.7	0.23	-1.03
39	1.74	0.24	-1.01
40	1.78	0.25	-0.97
41	1.82	0.28	-0.94
42	1.86	0.3	-0.91
43	1.9	0.34	-0.88
44	1.94	0.35	-0.85
45	1.98	0.36	-0.84
46	2.02	0.37	-0.83
47	2.06	0.34	-0.84
48	2.1	0.35	-0.84
49	2.14	0.36	-0.85
50	2.18	0.37	-0.87
51	2.22	0.39	-0.87
52	2.26	0.39	-0.88
53	2.3	0.39	-0.86
54	2.34	0.39	-0.83
55	2.38	0.41	-0.79
56	2.42	0.44	-0.71
57	2.46	0.44	-0.65
58	2.5	0.45	-0.56
59	2.54	0.45	-0.45
60	2.58	0.46	-0.32
61	2.62	0.48	-0.18
62	2.66	0.5	-0.04
63	2.7	0.51	0.06
64	2.74	0.52	0.18
65	2.78	0.54	0.32
66	2.82	0.54	0.47
67	2.86	0.56	0.63
68	2.9	0.56	0.77
69	2.94	0.57	0.87
70	2.98	0.59	0.98
71	3.02	0.62	1.09
72	3.06	0.65	1.18
73	3.1	0.68	1.28
74	3.14	0.73	1.4
75	3.18	0.78	1.54
76	3.22	0.82	1.68
77	3.26	0.85	1.76
78	3.3	0.88	1.84
79	3.34	0.9	1.89
80	3.38	0.94	1.99
81	3.42	1	2.17
82	3.46	1.03	2.32
83	3.5	1.03	2.46
84	3.54	1.03	2.55
85	3.58	1.03	2.59
86	3.62	1.03	2.63
87	3.66	1.04	2.67
88	3.7	1.05	2.73
89	3.74	1.06	2.84
90	3.78	1.07	2.94
91	3.82	1.09	3.04
92	3.86	1.11	3.14
93	3.9	1.14	3.18
94	3.94	1.18	3.24
95	3.98	1.21	3.3
96	4.02	1.24	3.34
97	4.06	1.28	3.4
98	4.1	1.29	3.45
99	4.14	1.31	3.5
100	4.18	1.32	3.57
101	4.22	1.32	3.66
102	4.26	1.32	3.78
103	4.3	1.31	3.92
104	4.34	1.29	4.09
105	4.38	1.26	4.25
106	4.42	1.25	4.39
107	4.46	1.24	4.53
108	4.5	1.23	4.66
109	4.54	1.22	4.82
110	4.58	1.2	5.02
111	4.62	1.17	5.2
112	4.66	1.15	5.36
113	4.7	1.13	5.48
114	4.74	1.11	5.6
115	4.78	1.09	5.74
116	4.82	1.1	5.84
117	4.86	1.11	5.92
118	4.9	1.13	6.01
119	4.94	1.14	6.08
120	4.98	1.15	6.21
121	5.02	1.16	6.33
122	5.06	1.2	6.48
123	5.1	1.21	6.63
124	5.14	1.18	6.81
125	5.18	1.14	7
126	5.22	1.08	7.17
127	5.26	1.03	7.33
128	5.3	1	7.47
129	5.34	0.97	7.6
130	5.38	0.94	7.75
131	5.42	0.91	7.93
132	5.46	0.86	8.11
133	5.5	0.8	8.29
134	5.54	0.72	8.47
135	5.58	0.68	8.63
136	5.62	0.65	8.83
137	5.66	0.63	9.05
138	5.7	0.64	9.26
139	5.74	0.64	9.48
140	5.78	0.64	9.68
141	5.82	0.67	9.88
142	5.86	0.72	10.08
143	5.9	0.76	10.29
144	5.94	0.78	10.48
145	5.98	0.77	10.67
146	6.02	0.72	10.86
147	6.06	0.66	11
148	6.1	0.61	11.12
149	6.14	0.56	11.24
150	6.18	0.52	11.35
151	6.22	0.46	11.48
152	6.26	0.4	11.66
153	6.3	0.35	11.83
154	6.34	0.32	12.02
155	6.38	0.33	12.19
156	6.42	0.35	12.35
157	6.46	0.38	12.49
158	6.5	0.42	12.62
159	6.54	0.43	12.76
160	6.58	0.45	12.91
161	6.62	0.49	13.05
162	6.66	0.5	13.18
163	6.7	0.54	13.3
164	6.74	0.57	13.4
165	6.78	0.56	13.54
166	6.82	0.56	13.69
167	6.86	0.52	13.87
168	6.9	0.46	14.06
169	6.94	0.43	14.19
170	6.98	0.38	14.34
171	7.02	0.35	14.45
172	7.06	0.33	14.56
173	7.1	0.29	14.7
174	7.14	0.23	14.82
175	7.18	0.18	14.95
176	7.22	0.12	15.1
177	7.26	0.08	15.25
178	7.3	0.05	15.42
179	7.34	0.03	15.59
180	7.38	0.03	15.78
181	7.42	0.02	16
182	7.46	0.02	16.25
183	7.5	0.05	16.48
184	7.54	0.07	16.69
185	7.58	0.09	16.89
186	7.62	0.05	17.07
187	7.66	-0.02	17.24
188	7.7	-0.11	17.43
189	7.74	-0.2	17.57
190	7.78	-0.26	17.64
191	7.82	-0.31	17.72
192	7.86	-0.37	17.8
193	7.9	-0.43	17.93
194	7.94	-0.51	18.1
195	7.98	-0.61	18.27
196	8.02	-0.7	18.42
197	8.06	-0.78	18.55
198	8.1	-0.84	18.67
199	8.14	-0.86	18.82
200	8.18	-0.9	19
201	8.22	-0.92	19.17
202	8.26	-0.95	19.36
203	8.3	-0.97	19.57
204	8.34	-0.97	19.77
205	8.38	-0.96	19.99
206	8.42	-0.96	20.2
207	8.46	-0.97	20.39
208	8.5	-1.02	20.58
209	8.54	-1.13	20.77
210	8.58	-1.25	20.94
211	8.62	-1.37	21.09
